address,pkca,pkdiv,pkpart
충청남도 부여군 부여읍 동남리 699,노상,공영,19
충청남도 부여군 부여읍 구아리 317-1,노상,공영,7
충청남도 부여군 부여읍 구아리 64,노상,공영,25
충청남도 부여군 부여읍 구아리 288-1,노상,공영,3
충청남도 부여군 부여읍 동남리 765-1,노상,공영,21
충청남도 부여군 부여읍 동남리 683-2,노상,공영,21
충청남도 부여군 부여읍 관북리 77,노외,공영,100
충청남도 부여군 부여읍 동남리 412,노외,공영,117
충청남도 부여군 부여읍 동남리 152-1,노외,공영,59
충청남도 부여군 부여읍 동남리 167-1,노외,공영,140
충청남도 부여군 부여읍 군수리 22-1,노외,공영,110
충청남도 부여군 부여읍 동남리 134,노외,공영,60
충청남도 부여군 부여읍 동남리 597-10,노외,공영,60
충청남도 부여군 부여읍 구교리 111-9,노외,공영,93
충청남도 부여군 부여읍 구교리 1-1,노외,공영,148
충청남도 부여군 부여읍 구교리 18-5,노외,공영,40
충청남도 부여군 부여읍 구아리 411-2,노외,공영,24
충청남도 부여군 부여읍 구아리 2-63,노외,공영,32
충청남도 부여군 부여읍 관북리 96,노외,공영,55
충청남도 부여군 부여읍 관북리 89,노외,공영,36
충청남도 부여군 부여읍 구교리 366-3,노외,공영,244
경기도 이천시 신둔면 지석리 13-4,노외,공영,61
경기도 이천시 장호원읍 이황리 349-1,노외,공영,21
경기도 이천시 창전동 443-25,노외,공영,177
서울특별시 종로구 청진동9,노외,민영,14
경기도 이천시 중리동 180-2,노외,공영,34
경기도 이천시 관고동 356,노외,공영,471
경기도 이천시 백사면 도립리 1006-1,노외,공영,359
경기도 이천시 창전동 504,노외,공영,196
경기도 이천시 중리동 210,노외,공영,224
경기도 이천시 중리동 449,노외,공영,466
충청남도 부여군 부여읍 구아리 439,노상,공영,32
충청남도 부여군 부여읍 구아리 439,노상,공영,63
충청남도 부여군 부여읍 동남리 765-1,노상,공영,65
충청남도 부여군 부여읍 구아리 439,노상,공영,39
충청남도 부여군 부여읍 동남리 765-1,노상,공영,43
충청남도 부여군 부여읍 구아리 309,노상,공영,29
충청남도 부여군 부여읍 구아리 288-9,노상,공영,30
충청남도 부여군 부여읍 동남리 662-2,노상,공영,14
충청남도 부여군 부여읍 구아리 368-2,노상,공영,22
충청남도 부여군 부여읍 동남리 253-4,노상,공영,9
충청남도 부여군 부여읍 동남리 692-1,노상,공영,111
강원도 평창군 대관령면 횡계리 321-10,노외,공영,28
강원도 평창군 대관령면 횡계리 337-8,노외,공영,32
강원도 평창군 대관령면 횡계리 325-10,노외,공영,17
