주차장명,주차면수,연월일,입차대수,출차대수,피크시간
잠실역,346,2021-10-29,610,612,14
구로디지털단지역,92,2021-10-29,196,196,20
개화산역,322,2021-10-29,331,327,16
수서역북,553,2021-10-29,657,671,10
수서역남,18,2021-10-29,40,43,16
복정역,322,2021-10-29,395,382,13
한강진역,176,2021-10-29,406,416,20
수락산역,157,2021-10-29,225,222,12
화랑대역,319,2021-10-29,330,328,12
서울글로벌센터,38,2021-10-29,67,72,16
구파발역,399,2021-10-29,625,631,16
신설동,79,2021-10-29,237,237,15
영등포구청역,137,2021-10-29,187,189,12
적선노외,30,2021-10-29,208,102,13
도봉산역,364,2021-10-29,397,403,14
학여울역,180,2021-10-29,114,124,12
사당노외,184,2021-10-29,418,427,20
종묘,1617,2021-10-29,1442,1478,14
천왕역,328,2021-10-29,342,342,13
개화역,483,2021-10-29,337,339,13
마포유수지,505,2021-10-29,758,763,20
세종로,1260,2021-10-29,626,638,20
신대방역,60,2021-10-29,160,165,16
동대문,1092,2021-10-29,1740,1782,0
천호역,1432,2021-10-29,1420,1444,12
용산주차빌딩,561,2021-10-29,427,439,12
신천유수지,214,2021-10-29,230,230,14
신방화역,199,2021-10-29,212,216,12
훈련원공원,873,2021-10-29,935,955,13
가양라이품,38,2021-10-29,30,35,14
남산예장,40,2021-10-29,258,258,7
장안1동,74,2021-10-29,65,79,8
신월4동,53,2021-10-29,10,1,23
장안2동,80,2021-10-29,49,47,10
웃우물,79,2021-10-29,69,73,11
잠실역,346,2021-10-30,718,722,16
구로디지털단지역,92,2021-10-30,148,153,19
개화산역,322,2021-10-30,168,167,17
수서역북,553,2021-10-30,311,335,9
수서역남,18,2021-10-30,54,43,11
복정역,322,2021-10-30,195,205,14
한강진역,176,2021-10-30,637,646,20
수락산역,157,2021-10-30,239,242,13
화랑대역,319,2021-10-30,374,376,11
서울글로벌센터,38,2021-10-30,9,9,12
구파발역,399,2021-10-30,510,520,12
신설동,79,2021-10-30,244,247,15
영등포구청역,137,2021-10-30,85,92,13
적선노외,30,2021-10-30,138,67,18
도봉산역,364,2021-10-30,484,497,14
학여울역,180,2021-10-30,68,70,12
사당노외,184,2021-10-30,329,330,19
종묘,1617,2021-10-30,1272,1314,15
천왕역,328,2021-10-30,144,165,13
개화역,483,2021-10-30,120,116,16
마포유수지,505,2021-10-30,566,607,14
세종로,1260,2021-10-30,852,863,19
신대방역,60,2021-10-30,182,182,19
동대문,1092,2021-10-30,592,1460,1
천호역,1432,2021-10-30,1857,1913,15
용산주차빌딩,561,2021-10-30,111,129,16
신천유수지,214,2021-10-30,129,129,18
신방화역,199,2021-10-30,145,152,14
훈련원공원,873,2021-10-30,402,433,13
가양라이품,38,2021-10-30,10,8,13
남산예장,40,2021-10-30,251,250,12
장안1동,74,2021-10-30,52,51,4
신월4동,53,2021-10-30,0,0,23
장안2동,80,2021-10-30,29,35,8
웃우물,79,2021-10-30,40,47,12
잠실역,346,2021-10-31,804,815,14
구로디지털단지역,92,2021-10-31,110,113,16
개화산역,322,2021-10-31,149,150,16
수서역북,553,2021-10-31,247,251,0
수서역남,18,2021-10-31,33,34,13
복정역,322,2021-10-31,146,224,1
한강진역,176,2021-10-31,581,596,16
수락산역,157,2021-10-31,176,180,13
화랑대역,319,2021-10-31,133,138,12
서울글로벌센터,38,2021-10-31,1,0,23
구파발역,399,2021-10-31,321,322,13
신설동,79,2021-10-31,210,213,16
영등포구청역,137,2021-10-31,57,54,23
적선노외,30,2021-10-31,148,58,17
도봉산역,364,2021-10-31,477,483,13
학여울역,180,2021-10-31,50,46,23
사당노외,184,2021-10-31,271,273,19
종묘,1617,2021-10-31,902,906,16
천왕역,328,2021-10-31,126,129,15
개화역,483,2021-10-31,77,92,17
마포유수지,505,2021-10-31,350,356,19
세종로,1260,2021-10-31,859,893,16
신대방역,60,2021-10-31,121,131,15
동대문,1092,2021-10-31,1139,509,0
천호역,1432,2021-10-31,1279,1326,13
용산주차빌딩,561,2021-10-31,66,49,0
신천유수지,214,2021-10-31,93,92,17
신방화역,199,2021-10-31,108,107,17
훈련원공원,873,2021-10-31,124,116,23
가양라이품,38,2021-10-31,8,9,11
남산예장,40,2021-10-31,242,242,18
장안1동,74,2021-10-31,39,38,20
신월4동,53,2021-10-31,0,0,23
장안2동,80,2021-10-31,29,25,23
웃우물,79,2021-10-31,28,24,7
잠실역,346,2021-11-01,574,565,14
구로디지털단지역,92,2021-11-01,191,169,19
개화산역,322,2021-11-01,333,331,10
수서역북,553,2021-11-01,725,708,11
수서역남,18,2021-11-01,28,28,16
복정역,322,2021-11-01,413,398,15
한강진역,176,2021-11-01,285,285,14
수락산역,157,2021-11-01,232,232,16
화랑대역,319,2021-11-01,337,340,15
서울글로벌센터,38,2021-11-01,62,64,12
구파발역,399,2021-11-01,660,651,12
신설동,79,2021-11-01,197,196,15
영등포구청역,137,2021-11-01,193,190,12
적선노외,30,2021-11-01,197,94,18
도봉산역,364,2021-11-01,353,340,10
학여울역,180,2021-11-01,101,95,12
사당노외,184,2021-11-01,388,373,19
종묘,1617,2021-11-01,1439,1409,13
천왕역,328,2021-11-01,378,363,13
개화역,483,2021-11-01,345,346,12
마포유수지,505,2021-11-01,749,705,19
세종로,1260,2021-11-01,509,482,14
신대방역,60,2021-11-01,154,136,19
동대문,1092,2021-11-01,1859,1567,0
천호역,1432,2021-11-01,1405,1339,12
용산주차빌딩,561,2021-11-01,462,452,13
신천유수지,214,2021-11-01,242,243,12
신방화역,199,2021-11-01,219,216,10
훈련원공원,873,2021-11-01,1014,991,13
가양라이품,38,2021-11-01,40,41,12
남산예장,40,2021-11-01,259,258,17
장안1동,74,2021-11-01,67,73,11
신월4동,53,2021-11-01,45,12,23
장안2동,80,2021-11-01,60,53,16
웃우물,79,2021-11-01,63,54,15
잠실역,346,2021-11-02,606,611,15
구로디지털단지역,92,2021-11-02,199,194,20
개화산역,322,2021-11-02,340,337,15
수서역북,553,2021-11-02,706,732,12
수서역남,18,2021-11-02,29,27,10
복정역,322,2021-11-02,401,397,15
한강진역,176,2021-11-02,340,351,15
수락산역,157,2021-11-02,232,230,12
화랑대역,319,2021-11-02,330,325,14
서울글로벌센터,38,2021-11-02,69,70,10
구파발역,399,2021-11-02,604,615,12
신설동,79,2021-11-02,171,170,11
영등포구청역,137,2021-11-02,174,176,14
적선노외,30,2021-11-02,200,94,15
도봉산역,364,2021-11-02,358,340,13
학여울역,180,2021-11-02,92,97,15
사당노외,184,2021-11-02,401,410,20
종묘,1617,2021-11-02,1395,1401,13
천왕역,328,2021-11-02,383,393,16
개화역,483,2021-11-02,332,339,16
마포유수지,505,2021-11-02,747,762,20
세종로,1260,2021-11-02,621,635,13
신대방역,60,2021-11-02,170,179,15
동대문,1092,2021-11-02,1794,1905,1
천호역,1432,2021-11-02,1425,1445,12
용산주차빌딩,561,2021-11-02,478,464,14
신천유수지,214,2021-11-02,249,258,12
신방화역,199,2021-11-02,205,208,12
훈련원공원,873,2021-11-02,975,981,13
가양라이품,38,2021-11-02,41,40,15
남산예장,40,2021-11-02,257,257,17
장안1동,74,2021-11-02,59,61,5
신월4동,53,2021-11-02,21,9,19
장안2동,80,2021-11-02,41,41,9
웃우물,79,2021-11-02,46,50,11
잠실역,346,2021-11-03,590,592,12
구로디지털단지역,92,2021-11-03,201,197,20
개화산역,322,2021-11-03,339,337,14
수서역북,553,2021-11-03,713,718,13
수서역남,18,2021-11-03,35,35,14
복정역,322,2021-11-03,400,414,14
한강진역,176,2021-11-03,400,402,13
수락산역,157,2021-11-03,241,240,15
화랑대역,319,2021-11-03,307,321,12
서울글로벌센터,38,2021-11-03,50,52,16
구파발역,399,2021-11-03,573,568,15
신설동,79,2021-11-03,233,234,11
영등포구청역,137,2021-11-03,159,165,14
적선노외,30,2021-11-03,210,100,19
도봉산역,364,2021-11-03,360,373,14
학여울역,180,2021-11-03,89,84,16
사당노외,184,2021-11-03,422,422,20
종묘,1617,2021-11-03,1387,1386,15
천왕역,328,2021-11-03,387,383,13
개화역,483,2021-11-03,329,317,16
마포유수지,505,2021-11-03,798,795,19
세종로,1260,2021-11-03,840,839,20
신대방역,60,2021-11-03,165,166,17
동대문,1092,2021-11-03,1695,1733,0
천호역,1432,2021-11-03,1418,1422,13
용산주차빌딩,561,2021-11-03,459,464,17
신천유수지,214,2021-11-03,240,235,15
신방화역,199,2021-11-03,196,197,16
훈련원공원,873,2021-11-03,1032,1026,14
가양라이품,38,2021-11-03,42,43,15
남산예장,40,2021-11-03,254,254,12
장안1동,74,2021-11-03,74,75,4
신월4동,53,2021-11-03,16,6,17
장안2동,80,2021-11-03,59,61,12
웃우물,79,2021-11-03,52,55,10
잠실역,346,2021-11-04,681,672,16
구로디지털단지역,92,2021-11-04,190,195,20
개화산역,322,2021-11-04,349,344,11
수서역북,553,2021-11-04,658,667,13
수서역남,18,2021-11-04,33,32,9
복정역,322,2021-11-04,406,410,16
한강진역,176,2021-11-04,409,413,14
수락산역,157,2021-11-04,270,277,14
화랑대역,319,2021-11-04,346,342,17
서울글로벌센터,38,2021-11-04,83,86,13
구파발역,399,2021-11-04,622,635,13
신설동,79,2021-11-04,206,203,14
영등포구청역,137,2021-11-04,212,83,11
적선노외,30,2021-11-04,204,101,13
도봉산역,364,2021-11-04,366,359,13
학여울역,180,2021-11-04,107,105,12
사당노외,184,2021-11-04,461,459,20
종묘,1617,2021-11-04,1408,1416,13
천왕역,328,2021-11-04,354,357,14
개화역,483,2021-11-04,338,337,13
마포유수지,505,2021-11-04,812,835,19
세종로,1260,2021-11-04,792,798,20
신대방역,60,2021-11-04,164,162,17
동대문,1092,2021-11-04,1698,1724,0
천호역,1432,2021-11-04,1358,1390,12
용산주차빌딩,561,2021-11-04,441,430,17
신천유수지,214,2021-11-04,230,231,14
신방화역,199,2021-11-04,187,186,16
훈련원공원,873,2021-11-04,951,972,13
가양라이품,38,2021-11-04,44,44,14
남산예장,40,2021-11-04,258,258,13
장안1동,74,2021-11-04,62,69,5
신월4동,53,2021-11-04,32,12,19
장안2동,80,2021-11-04,52,51,10
웃우물,79,2021-11-04,60,61,16
잠실역,346,2021-11-05,625,638,14
구로디지털단지역,92,2021-11-05,191,195,19
개화산역,322,2021-11-05,325,337,15
수서역북,553,2021-11-05,625,642,10
수서역남,18,2021-11-05,37,35,13
복정역,322,2021-11-05,407,401,15
한강진역,176,2021-11-05,408,415,15
수락산역,157,2021-11-05,264,263,14
화랑대역,319,2021-11-05,344,356,13
서울글로벌센터,38,2021-11-05,58,60,14
구파발역,399,2021-11-05,638,633,12
신설동,79,2021-11-05,217,219,15
영등포구청역,137,2021-11-05,305,175,14
적선노외,30,2021-11-05,177,101,13
도봉산역,364,2021-11-05,379,382,12
학여울역,180,2021-11-05,98,110,11
사당노외,184,2021-11-05,469,472,21
종묘,1617,2021-11-05,1475,1495,13
천왕역,328,2021-11-05,357,374,13
개화역,483,2021-11-05,340,333,17
마포유수지,505,2021-11-05,791,821,20
세종로,1260,2021-11-05,625,649,16
신대방역,60,2021-11-05,167,161,20
동대문,1092,2021-11-05,1839,1818,0
천호역,1432,2021-11-05,1465,1466,12
용산주차빌딩,561,2021-11-05,391,428,13
신천유수지,214,2021-11-05,235,236,13
신방화역,199,2021-11-05,182,187,12
훈련원공원,873,2021-11-05,902,921,13
